name,image,distortion,level,MOS,MOS_std,MSE,RMSE,PSNR,SNR,WSNR,NQM,UQI,SSIM,MSSIM,VIF,"CQ(1,1)",GMSM,GMSD
i01_06_1.bmp,1.00000,6.00000,1.00000,4.00000,0.11467,30.14498,5.49044,33.33865,26.25257,43.62758,33.31319,0.95118,0.97271,0.99025,0.84272,0.98117,0.99562,0.02622
i01_06_2.bmp,1.00000,6.00000,2.00000,3.89189,0.16566,65.25448,8.07802,29.98470,22.89862,39.92254,30.19987,0.90393,0.94345,0.97950,0.73213,0.95880,0.99052,0.03856
i01_06_3.bmp,1.00000,6.00000,3.00000,3.72973,0.10571,131.88924,11.48430,26.92871,19.84263,36.70872,27.26577,0.82663,0.89144,0.95822,0.60644,0.92243,0.98273,0.05062
i01_06_4.bmp,1.00000,6.00000,4.00000,3.48571,0.08448,256.30729,16.00960,24.04319,16.95711,33.14314,24.04205,0.71676,0.81020,0.92258,0.48711,0.86165,0.96668,0.07523
i01_06_5.bmp,1.00000,6.00000,5.00000,2.94444,0.11072,517.54441,22.74960,20.99133,13.90525,28.91959,19.91289,0.57119,0.67886,0.86134,0.36565,0.75551,0.94126,0.10526
i02_06_1.bmp,2.00000,6.00000,1.00000,4.55556,0.12696,46.53351,6.82155,31.45315,22.73805,37.14507,29.00870,0.89426,0.98755,0.97740,0.85538,0.89906,0.99120,0.03898
i02_06_2.bmp,2.00000,6.00000,2.00000,4.27778,0.10838,92.89449,9.63818,28.45090,19.73581,32.39370,24.78133,0.79538,0.97692,0.95831,0.76859,0.79730,0.98249,0.06209
i02_06_3.bmp,2.00000,6.00000,3.00000,3.72973,0.11241,189.48243,13.76526,25.35511,16.64002,28.65098,21.73084,0.64672,0.95374,0.92299,0.67455,0.66916,0.96486,0.08940
i02_06_4.bmp,2.00000,6.00000,4.00000,3.48571,0.08448,380.02861,19.49432,22.33264,13.61755,24.74670,18.57992,0.45288,0.91175,0.85826,0.58346,0.53318,0.93205,0.12440
i02_06_5.bmp,2.00000,6.00000,5.00000,3.10811,0.08360,744.67075,27.28866,19.41116,10.69607,20.45379,15.34714,0.27447,0.83782,0.76458,0.49009,0.39731,0.88415,0.15996
i03_06_1.bmp,3.00000,6.00000,1.00000,4.81579,0.11683,37.50473,6.12411,32.38994,24.60041,41.54844,31.66669,0.86740,0.95624,0.97940,0.86026,0.88115,0.99053,0.03820
i03_06_2.bmp,3.00000,6.00000,2.00000,4.53846,0.12997,78.90888,8.88307,29.15954,21.37001,38.08234,28.84804,0.74237,0.91302,0.95681,0.76064,0.79071,0.98113,0.05472
i03_06_3.bmp,3.00000,6.00000,3.00000,4.10000,0.10488,160.61233,12.67329,26.07301,18.28348,34.62432,25.96997,0.57467,0.84426,0.91897,0.65476,0.67100,0.96334,0.07854
i03_06_4.bmp,3.00000,6.00000,4.00000,3.75000,0.09843,322.28664,17.95234,23.04838,15.25885,30.66518,22.69993,0.37043,0.73584,0.85309,0.54904,0.53160,0.93159,0.10892
i03_06_5.bmp,3.00000,6.00000,5.00000,3.50000,0.11726,641.79939,25.33376,20.05681,12.26728,26.41953,19.12780,0.21237,0.60491,0.75333,0.44057,0.39651,0.88232,0.14844
i04_06_1.bmp,4.00000,6.00000,1.00000,5.02381,0.08577,33.54159,5.79151,32.87497,24.80492,41.37884,31.63259,0.89276,0.96971,0.98459,0.84526,0.88511,0.99329,0.02954
i04_06_2.bmp,4.00000,6.00000,2.00000,4.56098,0.12929,76.11491,8.72439,29.31611,21.24606,35.78505,27.13504,0.79414,0.94550,0.96735,0.74531,0.73895,0.98366,0.05938
i04_06_3.bmp,4.00000,6.00000,3.00000,4.26190,0.10680,144.59335,12.02470,26.52932,18.45927,32.76458,24.42332,0.64313,0.89535,0.93870,0.64008,0.62225,0.96952,0.07994
i04_06_4.bmp,4.00000,6.00000,4.00000,4.19512,0.12541,290.98133,17.05817,23.49215,15.42210,28.97660,21.16816,0.44393,0.80936,0.88300,0.53699,0.48830,0.94263,0.11035
i04_06_5.bmp,4.00000,6.00000,5.00000,3.45000,0.07866,583.55632,24.15691,20.46998,12.39993,24.76740,17.82537,0.26279,0.67217,0.79682,0.43431,0.35873,0.89682,0.14968
i05_06_1.bmp,5.00000,6.00000,1.00000,4.37500,0.15284,41.22868,6.42096,31.97881,23.75268,40.72973,36.29470,0.95702,0.96489,0.99053,0.83775,0.97866,0.99648,0.02049
i05_06_2.bmp,5.00000,6.00000,2.00000,3.92308,0.14223,91.67493,9.57470,28.50830,20.28217,36.99405,32.96375,0.91320,0.92784,0.98075,0.71904,0.95374,0.99219,0.03197
i05_06_3.bmp,5.00000,6.00000,3.00000,3.50000,0.12748,182.22400,13.49904,25.52475,17.29862,33.31095,29.67037,0.83877,0.86757,0.96066,0.59232,0.91209,0.98445,0.04651
