name,image,distortion,level,MOS,MOS_std,MSE,RMSE,PSNR,SNR,WSNR,NQM,UQI,SSIM,MSSIM,VIF,"CQ(1,1)",GMSM,GMSD
i01_02_1.bmp,1.00000,2.00000,1.00000,6.02857,0.16896,30.91275,5.55992,33.22943,26.14335,47.57587,36.38508,0.87563,0.96306,0.98311,0.68569,0.99457,0.99864,0.00283
i01_02_2.bmp,1.00000,2.00000,2.00000,6.10811,0.17001,61.64238,7.85127,30.23201,23.14593,44.68951,34.23848,0.82313,0.93066,0.96776,0.59796,0.98942,0.99741,0.00531
i01_02_3.bmp,1.00000,2.00000,3.00000,5.38889,0.16795,123.78750,11.12598,27.20404,20.11795,41.60486,32.03244,0.75300,0.87495,0.94059,0.50363,0.97889,0.99489,0.01044
i01_02_4.bmp,1.00000,2.00000,4.00000,4.71429,0.10358,244.50875,15.63678,24.24786,17.16178,38.53925,29.37182,0.66280,0.78910,0.89620,0.41066,0.95999,0.99022,0.01924
i01_02_5.bmp,1.00000,2.00000,5.00000,4.36111,0.13695,489.78415,22.13107,21.23076,14.14468,35.38023,26.55915,0.55173,0.66726,0.82491,0.32077,0.92362,0.98176,0.03400
i02_02_1.bmp,2.00000,2.00000,1.00000,6.05556,0.16641,30.51268,5.52383,33.28600,24.57091,43.15539,33.43359,0.71586,0.99130,0.97502,0.73467,0.97767,0.99771,0.00386
i02_02_2.bmp,2.00000,2.00000,2.00000,6.05405,0.15263,60.61732,7.78571,30.30484,21.58974,40.17695,31.11296,0.60852,0.98294,0.95454,0.66759,0.95740,0.99580,0.00686
i02_02_3.bmp,2.00000,2.00000,3.00000,5.88889,0.12897,120.00034,10.95447,27.33898,18.62389,37.10080,28.69235,0.49200,0.96707,0.91938,0.59603,0.91935,0.99194,0.01305
i02_02_4.bmp,2.00000,2.00000,4.00000,5.29730,0.10719,228.71732,15.12340,24.53781,15.82272,33.97304,26.10660,0.37969,0.93954,0.87064,0.52717,0.85611,0.98410,0.02516
i02_02_5.bmp,2.00000,2.00000,5.00000,4.38889,0.11966,439.05233,20.95358,21.70564,12.99055,30.55804,23.29470,0.27481,0.89044,0.80134,0.45726,0.75672,0.96973,0.04524
i03_02_1.bmp,3.00000,2.00000,1.00000,6.18421,0.12814,30.18173,5.49379,33.33336,25.54383,46.10407,34.52807,0.50411,0.93690,0.96616,0.72078,0.96746,0.99747,0.00412
i03_02_2.bmp,3.00000,2.00000,2.00000,6.28205,0.09559,59.63652,7.72247,30.37568,22.58615,42.99178,32.08309,0.41645,0.88848,0.94021,0.64885,0.93861,0.99501,0.00807
i03_02_3.bmp,3.00000,2.00000,3.00000,5.25000,0.10458,119.10470,10.91351,27.37151,19.58198,39.87194,29.70096,0.33582,0.81469,0.89451,0.57016,0.88642,0.99018,0.01542
i03_02_4.bmp,3.00000,2.00000,4.00000,5.00000,0.10000,232.99760,15.26426,24.45729,16.66776,36.58889,27.11819,0.26535,0.72263,0.82919,0.49032,0.80472,0.98009,0.02993
i03_02_5.bmp,3.00000,2.00000,5.00000,4.60000,0.12145,459.44697,21.43471,21.50845,13.71892,33.29425,24.40977,0.20209,0.61407,0.73734,0.40923,0.68962,0.96129,0.05409
i04_02_1.bmp,4.00000,2.00000,1.00000,6.27500,0.11719,30.74260,5.54460,33.25340,25.18335,45.81561,34.94995,0.67840,0.96277,0.97368,0.68849,0.96818,0.99778,0.00367
i04_02_2.bmp,4.00000,2.00000,2.00000,6.15385,0.09956,60.94380,7.80665,30.28151,22.21146,42.82685,32.66551,0.56608,0.92963,0.95182,0.61158,0.94014,0.99575,0.00692
i04_02_3.bmp,4.00000,2.00000,3.00000,5.68293,0.10020,123.54495,11.11508,27.21255,19.14251,39.78092,30.29665,0.44528,0.86987,0.91368,0.52783,0.88805,0.99192,0.01284
i04_02_4.bmp,4.00000,2.00000,4.00000,5.30952,0.11899,243.63061,15.60867,24.26349,16.19344,36.82990,27.70131,0.33575,0.77911,0.85438,0.44744,0.80832,0.98474,0.02383
i04_02_5.bmp,4.00000,2.00000,5.00000,4.53659,0.07788,481.45664,21.94212,21.30523,13.23518,33.56376,24.86704,0.23890,0.65438,0.77034,0.36784,0.69123,0.97101,0.04349
i05_02_1.bmp,5.00000,2.00000,1.00000,5.82927,0.14997,30.34234,5.50839,33.31031,25.08418,46.10522,40.83899,0.91881,0.96222,0.98775,0.70434,0.99545,0.99903,0.00228
i05_02_2.bmp,5.00000,2.00000,2.00000,5.68293,0.16339,60.09999,7.75242,30.34206,22.11593,43.15609,38.44332,0.87442,0.93064,0.97684,0.62038,0.99128,0.99818,0.00420
i05_02_3.bmp,5.00000,2.00000,3.00000,5.32500,0.15964,120.79091,10.99049,27.31046,19.08433,39.95985,35.57955,0.81208,0.87775,0.95693,0.52855,0.98281,0.99649,0.00794
i05_02_4.bmp,5.00000,2.00000,4.00000,5.09756,0.14555,236.21615,15.36932,24.39771,16.17158,36.91231,32.93396,0.73356,0.80144,0.92527,0.43813,0.96696,0.99334,0.01471
i05_02_5.bmp,5.00000,2.00000,5.00000,4.25641,0.09399,458.72085,21.41777,21.51532,13.28919,33.20807,29.29341,0.63802,0.69976,0.87555,0.34925,0.93683,0.98725,0.02673
i06_02_1.bmp,6.00000,2.00000,1.00000,6.16216,0.20410,30.12437,5.48857,33.34162,28.35330,48.41120,36.47737,0.79939,0.96950,0.97850,0.69668,0.99481,0.99854,0.00287
i06_02_2.bmp,6.00000,2.00000,2.00000,5.78378,0.17572,59.96911,7.74397,30.35153,25.36321,45.30597,34.48738,0.74537,0.94177,0.95971,0.61190,0.99002,0.99713,0.00558
i06_02_3.bmp,6.00000,2.00000,3.00000,5.45946,0.16033,121.42724,11.01940,27.28764,22.29932,42.26728,32.32166,0.67585,0.89113,0.92659,0.52035,0.98046,0.99452,0.01051
i06_02_4.bmp,6.00000,2.00000,4.00000,4.83333,0.11453,241.43209,15.53809,24.30285,19.31453,39.06228,29.86741,0.59209,0.81064,0.87141,0.42995,0.96139,0.98935,0.01966
i06_02_5.bmp,6.00000,2.00000,5.00000,4.38889,0.13765,478.73074,21.87992,21.32989,16.34157,35.88191,27.36735,0.49282,0.69407,0.79120,0.34050,0.92728,0.97991,0.03507
i07_02_1.bmp,7.00000,2.00000,1.00000,6.04444,0.14386,30.63183,5.53460,33.26907,25.91875,47.18909,37.01048,0.74102,0.94555,0.97609,0.69136,0.98649,0.99843,0.00322
i07_02_2.bmp,7.00000,2.00000,2.00000,5.86364,0.13481,61.07228,7.81488,30.27236,22.92204,44.23988,34.82192,0.67300,0.90032,0.95575,0.60690,0.97288,0.99695,0.00614
i07_02_3.bmp,7.00000,2.00000,3.00000,5.55814,0.12865,122.71191,11.07754,27.24194,19.89162,41.17370,32.41838,0.59719,0.82747,0.92136,0.51785,0.94834,0.99395,0.01218
i07_02_4.bmp,7.00000,2.00000,4.00000,5.23256,0.10827,242.16094,15.56152,24.28976,16.93944,38.07981,29.73977,0.51552,0.72668,0.86882,0.42868,0.90429,0.98818,0.02259
i07_02_5.bmp,7.00000,2.00000,5.00000,4.75556,0.12235,481.86053,21.95132,21.30159,13.95127,34.85859,26.78416,0.42495,0.60015,0.79483,0.34321,0.83177,0.97695,0.04209
i08_02_1.bmp,8.00000,2.00000,1.00000,5.59375,0.16453,30.06257,5.48293,33.35054,27.93255,48.51579,39.78188,0.89823,0.95732,0.98215,0.68722,0.99750,0.99879,0.00269
i08_02_2.bmp,8.00000,2.00000,2.00000,5.54839,0.15697,59.96252,7.74355,30.35201,24.93402,45.31380,37.42727,0.84717,0.92266,0.96657,0.60071,0.99513,0.99763,0.00515
i08_02_3.bmp,8.00000,2.00000,3.00000,5.40625,0.19695,120.86426,10.99383,27.30782,21.88984,42.19240,35.17677,0.77958,0.86519,0.93868,0.50774,0.99016,0.99551,0.00960
i08_02_4.bmp,8.00000,2.00000,4.00000,5.22581,0.13463,239.02145,15.46032,24.34643,18.92845,39.09048,32.75427,0.70108,0.78370,0.89426,0.41643,0.98100,0.99175,0.01728
i08_02_5.bmp,8.00000,2.00000,5.00000,4.64516,0.11674,476.22798,21.82265,21.35265,15.93467,35.91226,29.83829,0.60761,0.67457,0.82786,0.32786,0.96257,0.98428,0.03124
i09_02_1.bmp,9.00000,2.00000,1.00000,5.87879,0.16463,30.68150,5.53909,33.26204,28.10731,49.71877,35.82300,0.64569,0.90425,0.96332,0.65366,0.99092,0.99787,0.00382
i09_02_2.bmp,9.00000,2.00000,2.00000,6.03030,0.17400,61.61722,7.84966,30.23378,25.07905,46.49473,33.26376,0.55949,0.83430,0.93297,0.56699,0.98109,0.99597,0.00718
i09_02_3.bmp,9.00000,2.00000,3.00000,5.56250,0.15269,124.37552,11.15238,27.18345,22.02872,43.51900,31.21246,0.47698,0.73520,0.88423,0.47744,0.96357,0.99179,0.01425
