name,image,distortion,level,MOS,MSE,RMSE,PSNR,SNR,WSNR,NQM,UQI,SSIM,MSSIM,VIF,"CQ(1,1)",GMSM,GMSD
i01_02_1.bmp,1.0,2.0,1.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3
i01_02_2.bmp,1.0,2.0,2.0,3,3,3,3,3,3,3,3,2,2,2,3,3,3
i01_02_3.bmp,1.0,2.0,3.0,3,2,2,2,2,3,3,2,2,2,2,3,3,3
i01_02_4.bmp,1.0,2.0,4.0,2,2,2,2,1,3,3,2,1,1,1,3,2,3
i01_02_5.bmp,1.0,2.0,5.0,2,1,1,1,1,2,2,2,1,1,1,2,2,2
i02_02_1.bmp,2.0,2.0,1.0,3,3,3,3,3,3,3,2,3,3,3,3,3,3
i02_02_2.bmp,2.0,2.0,2.0,3,3,3,3,2,3,3,2,3,2,2,3,3,3
i02_02_3.bmp,2.0,2.0,3.0,3,2,2,2,2,3,2,1,3,2,2,2,3,3
i02_02_4.bmp,2.0,2.0,4.0,3,2,2,2,1,2,2,1,2,1,2,2,2,2
i02_02_5.bmp,2.0,2.0,5.0,2,1,1,1,1,2,2,1,2,1,1,1,2,2
i03_02_1.bmp,3.0,2.0,1.0,3,3,3,3,3,3,3,1,2,2,3,3,3,3
i03_02_2.bmp,3.0,2.0,2.0,3,3,3,3,2,3,3,1,2,2,2,2,3,3
i03_02_3.bmp,3.0,2.0,3.0,3,2,2,2,2,3,3,1,1,1,2,2,2,3
i03_02_4.bmp,3.0,2.0,4.0,2,2,2,2,1,2,2,1,1,1,1,2,2,2
i03_02_5.bmp,3.0,2.0,5.0,2,1,1,1,1,2,2,1,1,1,1,1,1,2
i04_02_1.bmp,4.0,2.0,1.0,3,3,3,3,3,3,3,2,3,3,3,3,3,3
i04_02_2.bmp,4.0,2.0,2.0,3,3,3,3,2,3,3,2,2,2,2,2,3,3
i04_02_3.bmp,4.0,2.0,3.0,3,2,2,2,2,3,3,1,2,2,2,2,3,3
i04_02_4.bmp,4.0,2.0,4.0,3,2,2,2,1,3,2,1,1,1,1,2,2,3
i04_02_5.bmp,4.0,2.0,5.0,2,1,1,1,1,2,2,1,1,1,1,1,2,2
i05_02_1.bmp,5.0,2.0,1.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3
i05_02_2.bmp,5.0,2.0,2.0,3,3,3,3,2,3,3,3,2,3,2,3,3,3
i05_02_3.bmp,5.0,2.0,3.0,3,2,2,2,2,3,3,2,2,2,2,3,3,3
i05_02_4.bmp,5.0,2.0,4.0,2,2,2,2,1,3,3,2,1,2,1,3,3,3
i05_02_5.bmp,5.0,2.0,5.0,2,1,1,1,1,2,3,2,1,1,1,2,2,2
i06_02_1.bmp,6.0,2.0,1.0,3,3,3,3,3,3,3,2,3,3,3,3,3,3
i06_02_2.bmp,6.0,2.0,2.0,3,3,3,3,3,3,3,2,2,2,2,3,3,3
i06_02_3.bmp,6.0,2.0,3.0,3,2,2,2,2,3,3,2,2,2,2,3,3,3
i06_02_4.bmp,6.0,2.0,4.0,2,2,2,2,2,3,3,2,1,1,1,3,2,3
i06_02_5.bmp,6.0,2.0,5.0,2,1,1,1,1,2,2,1,1,1,1,2,2,2
i07_02_1.bmp,7.0,2.0,1.0,3,3,3,3,3,3,3,2,3,3,3,3,3,3
i07_02_2.bmp,7.0,2.0,2.0,3,3,3,3,3,3,3,2,2,2,2,3,3,3
i07_02_3.bmp,7.0,2.0,3.0,3,2,2,2,2,3,3,2,1,2,2,3,3,3
i07_02_4.bmp,7.0,2.0,4.0,2,2,2,2,1,3,3,1,1,1,1,2,2,3
i07_02_5.bmp,7.0,2.0,5.0,2,1,1,1,1,2,2,1,1,1,1,2,2,2
i08_02_1.bmp,8.0,2.0,1.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3
i08_02_2.bmp,8.0,2.0,2.0,3,3,3,3,3,3,3,3,2,2,2,3,3,3
i08_02_3.bmp,8.0,2.0,3.0,3,2,2,2,2,3,3,2,2,2,2,3,3,3
i08_02_4.bmp,8.0,2.0,4.0,2,2,2,2,2,3,3,2,1,1,1,3,3,3
i08_02_5.bmp,8.0,2.0,5.0,2,1,1,1,1,2,3,2,1,1,1,3,2,2
i09_02_1.bmp,9.0,2.0,1.0,3,3,3,3,3,3,3,2,2,2,2,3,3,3
i09_02_2.bmp,9.0,2.0,2.0,3,3,3,3,3,3,3,2,2,2,2,3,3,3
i09_02_3.bmp,9.0,2.0,3.0,3,2,2,2,2,3,3,1,1,1,1,3,3,3
i09_02_4.bmp,9.0,2.0,4.0,2,2,2,2,2,3,3,1,1,1,1,2,2,2
i09_02_5.bmp,9.0,2.0,5.0,2,1,1,1,1,3,2,1,1,1,1,2,2,2
i10_02_1.bmp,10.0,2.0,1.0,3,3,3,3,3,3,3,2,2,2,2,3,3,3
i10_02_2.bmp,10.0,2.0,2.0,3,3,3,3,3,3,3,2,1,2,2,3,3,3
i10_02_3.bmp,10.0,2.0,3.0,3,2,2,2,2,3,3,1,1,1,1,3,3,3
i10_02_4.bmp,10.0,2.0,4.0,3,2,2,2,2,3,2,1,1,1,1,2,2,3
i10_02_5.bmp,10.0,2.0,5.0,2,1,1,1,1,2,2,1,1,1,1,2,2,2
i11_02_1.bmp,11.0,2.0,1.0,3,3,3,3,3,3,3,2,2,3,2,3,3,3
i11_02_2.bmp,11.0,2.0,2.0,3,3,3,3,2,3,3,2,2,2,2,3,3,3
i11_02_3.bmp,11.0,2.0,3.0,3,2,2,2,2,3,3,2,1,2,1,3,3,3
i11_02_4.bmp,11.0,2.0,4.0,2,2,2,2,1,2,3,2,1,1,1,3,2,3
i11_02_5.bmp,11.0,2.0,5.0,2,1,1,1,1,2,2,1,1,1,1,2,2,2
i12_02_1.bmp,12.0,2.0,1.0,3,3,3,3,3,3,3,2,3,2,2,3,3,3
i12_02_2.bmp,12.0,2.0,2.0,3,3,3,3,3,3,3,2,2,2,2,3,3,3
i12_02_3.bmp,12.0,2.0,3.0,3,2,2,2,3,3,3,1,2,1,1,2,3,3
i12_02_4.bmp,12.0,2.0,4.0,2,2,2,2,2,3,3,1,1,1,1,2,2,2
i12_02_5.bmp,12.0,2.0,5.0,2,1,1,1,1,3,2,1,1,1,1,2,2,2
i13_02_1.bmp,13.0,2.0,1.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3
i13_02_2.bmp,13.0,2.0,2.0,3,3,3,3,3,3,3,3,2,3,2,3,3,3
i13_02_3.bmp,13.0,2.0,3.0,3,2,2,2,2,3,3,3,2,2,2,3,3,3
i13_02_4.bmp,13.0,2.0,4.0,3,2,2,2,1,3,3,2,1,2,1,3,3,3
i13_02_5.bmp,13.0,2.0,5.0,2,1,1,1,1,2,2,2,1,1,1,3,2,2
i14_02_1.bmp,14.0,2.0,1.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3
i14_02_2.bmp,14.0,2.0,2.0,3,3,3,3,3,3,3,3,2,2,2,3,3,3
i14_02_3.bmp,14.0,2.0,3.0,3,2,2,2,2,3,3,2,2,2,2,3,3,3
i14_02_4.bmp,14.0,2.0,4.0,2,2,2,2,1,3,3,2,1,1,1,3,3,3
i14_02_5.bmp,14.0,2.0,5.0,2,1,1,1,1,2,2,1,1,1,1,2,2,2
i15_02_1.bmp,15.0,2.0,1.0,3,3,3,3,3,3,3,2,2,2,2,3,3,3
i15_02_2.bmp,15.0,2.0,2.0,3,3,3,3,3,3,3,1,2,2,2,3,3,3
i15_02_3.bmp,15.0,2.0,3.0,3,2,2,2,2,3,3,1,1,1,2,2,3,3
i15_02_4.bmp,15.0,2.0,4.0,2,2,2,2,1,2,3,1,1,1,1,2,2,3
i15_02_5.bmp,15.0,2.0,5.0,2,1,1,1,1,2,2,1,1,1,1,2,2,2
i16_02_1.bmp,16.0,2.0,1.0,3,3,3,3,3,3,3,2,2,2,2,3,3,3
i16_02_2.bmp,16.0,2.0,2.0,3,3,3,3,3,3,3,2,1,2,2,3,3,3
i16_02_3.bmp,16.0,2.0,3.0,3,2,2,2,2,3,2,1,1,1,1,2,3,3
i16_02_4.bmp,16.0,2.0,4.0,2,2,2,2,2,3,2,1,1,1,1,2,2,2
i16_02_5.bmp,16.0,2.0,5.0,2,1,1,1,1,2,2,1,1,1,1,2,2,2
i17_02_1.bmp,17.0,2.0,1.0,3,3,3,3,3,3,3,2,2,2,2,3,3,3
i17_02_2.bmp,17.0,2.0,2.0,3,3,3,3,2,3,3,2,1,2,2,3,3,3
i17_02_3.bmp,17.0,2.0,3.0,3,2,2,2,2,3,3,1,1,1,1,3,3,3
i17_02_4.bmp,17.0,2.0,4.0,3,2,2,2,1,2,3,1,1,1,1,2,2,3
i17_02_5.bmp,17.0,2.0,5.0,2,1,1,1,1,2,2,1,1,1,1,2,2,2
i18_02_1.bmp,18.0,2.0,1.0,3,3,3,3,3,3,3,3,2,3,2,3,3,3
i18_02_2.bmp,18.0,2.0,2.0,3,3,3,3,2,3,3,2,2,2,2,3,3,3
i18_02_3.bmp,18.0,2.0,3.0,3,2,2,2,1,3,3,2,1,2,2,3,3,3
i18_02_4.bmp,18.0,2.0,4.0,2,2,2,2,1,2,3,2,1,1,1,3,2,3
i18_02_5.bmp,18.0,2.0,5.0,2,1,1,1,1,2,2,1,1,1,1,2,2,2
