name,image,distortion,level,MOS,MOS_std,MSE,RMSE,PSNR,SNR,WSNR,NQM,UQI,SSIM,MSSIM,VIF,"CQ(1,1)",GMSM,GMSD
i01_12_1.bmp,1.00000,12.00000,1.00000,5.94595,0.15734,35.12064,5.92627,32.67518,25.58910,41.28236,36.18220,0.87601,0.94709,0.97683,0.82445,0.95156,0.99152,0.03871
i01_12_2.bmp,1.00000,12.00000,2.00000,5.86486,0.16732,50.67997,7.11899,31.08244,23.99636,40.56769,35.59582,0.88677,0.93369,0.97027,0.84132,0.92962,0.98926,0.04588
i01_12_3.bmp,1.00000,12.00000,3.00000,4.21622,0.13315,124.32407,11.15007,27.18525,20.09917,34.81827,29.65026,0.75363,0.86864,0.93727,0.69974,0.82047,0.96961,0.08666
i01_12_4.bmp,1.00000,12.00000,4.00000,3.83333,0.13889,263.10769,16.22059,23.92947,16.84339,33.03052,30.14387,0.60164,0.76525,0.88028,0.55057,0.64010,0.94513,0.11268
i01_12_5.bmp,1.00000,12.00000,5.00000,3.43243,0.11806,480.66618,21.92410,21.31237,14.22629,30.06157,28.90067,0.41910,0.63110,0.80380,0.35091,0.33995,0.91444,0.13106
i02_12_1.bmp,2.00000,12.00000,1.00000,5.30556,0.13506,23.88456,4.88718,34.34963,25.63454,36.99774,28.42046,0.84272,0.99331,0.98976,0.82544,0.99035,0.99896,0.00297
i02_12_2.bmp,2.00000,12.00000,2.00000,4.43243,0.12985,57.70509,7.59639,30.51866,21.80357,35.00290,31.15003,0.63398,0.98315,0.95519,0.75385,0.67404,0.97653,0.06234
i02_12_3.bmp,2.00000,12.00000,3.00000,3.08108,0.09653,138.76256,11.77975,26.70808,17.99299,18.72881,10.88879,0.60473,0.96931,0.85863,0.60824,0.72067,0.87996,0.17923
i02_12_4.bmp,2.00000,12.00000,4.00000,2.67568,0.11501,259.35957,16.10464,23.99178,15.27669,18.34001,10.31992,0.19582,0.93681,0.78584,0.50599,0.10703,0.85788,0.19195
i02_12_5.bmp,2.00000,12.00000,5.00000,2.37143,0.09112,595.36954,24.40020,20.38294,11.66785,14.82681,5.93965,0.14861,0.90077,0.68585,0.45382,0.06995,0.81737,0.22959
i03_12_1.bmp,3.00000,12.00000,1.00000,5.41026,0.14827,34.10473,5.83993,32.80266,25.01313,40.40609,33.34641,0.56593,0.97178,0.97568,0.75276,0.77353,0.98330,0.05447
i03_12_2.bmp,3.00000,12.00000,2.00000,4.07895,0.10774,56.22503,7.49833,30.63151,22.84197,37.69820,32.82217,0.59719,0.96361,0.96119,0.72368,0.63927,0.97470,0.07130
i03_12_3.bmp,3.00000,12.00000,3.00000,2.84211,0.10867,124.62728,11.16366,27.17467,19.38514,22.93890,13.50413,0.55855,0.94219,0.86154,0.63670,0.70002,0.88794,0.20891
i03_12_4.bmp,3.00000,12.00000,4.00000,3.10000,0.08515,242.20761,15.56302,24.28893,16.49939,21.55415,11.55393,0.37724,0.90046,0.79689,0.55344,0.36008,0.89865,0.19874
i03_12_5.bmp,3.00000,12.00000,5.00000,2.40000,0.07746,571.98911,23.91629,20.55693,12.76739,15.39821,5.27508,0.21345,0.85887,0.76047,0.47143,0.16873,0.86673,0.21856
i04_12_1.bmp,4.00000,12.00000,1.00000,6.05000,0.10577,31.85006,5.64359,33.09970,25.02965,38.05737,31.76948,0.82880,0.97847,0.98244,0.80398,0.77676,0.99073,0.03931
i04_12_2.bmp,4.00000,12.00000,2.00000,4.64286,0.10001,69.13904,8.31499,29.73357,21.66352,35.18454,30.61177,0.65689,0.94808,0.95128,0.68817,0.49494,0.97385,0.06785
i04_12_3.bmp,4.00000,12.00000,3.00000,3.92857,0.10855,123.83017,11.12790,27.20254,19.13249,32.95106,26.96295,0.42218,0.90412,0.91824,0.53656,0.28250,0.96209,0.07610
i04_12_4.bmp,4.00000,12.00000,4.00000,2.90476,0.08116,257.49157,16.04654,24.02317,15.95313,20.18756,11.28187,0.37964,0.86020,0.82542,0.51039,0.20982,0.88781,0.18751
i04_12_5.bmp,4.00000,12.00000,5.00000,2.65854,0.07406,456.86293,21.37435,21.53294,13.46290,15.83993,6.54457,0.23445,0.83013,0.75763,0.43083,0.12336,0.85235,0.20471
i05_12_1.bmp,5.00000,12.00000,1.00000,5.68293,0.16699,39.54685,6.28863,32.15969,23.93355,39.50494,37.82661,0.95674,0.97264,0.98713,0.83685,0.95970,0.99579,0.03118
i05_12_2.bmp,5.00000,12.00000,2.00000,5.77500,0.16003,60.54245,7.78090,30.31020,22.08407,37.32388,35.85051,0.95217,0.96181,0.98101,0.86523,0.93345,0.99357,0.04217
i05_12_3.bmp,5.00000,12.00000,3.00000,5.35000,0.13942,126.20967,11.23431,27.11988,18.89375,34.23929,32.99202,0.89758,0.91773,0.95866,0.78723,0.86061,0.98519,0.06312
