name,image,distortion,level,MOS,MSE,RMSE,PSNR,SNR,WSNR,NQM,UQI,SSIM,MSSIM,VIF,"CQ(1,1)",GMSM,GMSD
i01_12_1.bmp,1.0,12.0,1.0,3,3,3,3,3,3,3,3,3,3,3,3,3,2
i01_12_2.bmp,1.0,12.0,2.0,3,3,3,3,3,3,3,3,2,2,3,2,2,2
i01_12_3.bmp,1.0,12.0,3.0,2,2,2,2,2,2,3,2,2,2,3,2,2,1
i01_12_4.bmp,1.0,12.0,4.0,1,1,1,1,1,2,3,2,1,1,2,1,1,1
i01_12_5.bmp,1.0,12.0,5.0,1,1,1,1,1,2,3,1,1,1,1,1,1,1
i02_12_1.bmp,2.0,12.0,1.0,3,3,3,3,3,3,2,3,3,3,3,3,3,3
i02_12_2.bmp,2.0,12.0,2.0,2,3,3,3,2,2,3,2,3,2,3,1,2,2
i02_12_3.bmp,2.0,12.0,3.0,1,2,2,2,2,1,1,2,3,1,2,1,1,1
i02_12_4.bmp,2.0,12.0,4.0,1,1,1,1,1,1,1,1,2,1,2,1,1,1
i02_12_5.bmp,2.0,12.0,5.0,1,1,1,1,1,1,1,1,2,1,1,1,1,1
i03_12_1.bmp,3.0,12.0,1.0,3,3,3,3,3,3,3,2,3,3,3,1,2,2
i03_12_2.bmp,3.0,12.0,2.0,2,3,3,3,3,3,3,2,3,2,3,1,2,2
i03_12_3.bmp,3.0,12.0,3.0,1,2,2,2,2,1,1,2,2,1,2,1,1,1
i03_12_4.bmp,3.0,12.0,4.0,1,2,2,2,1,1,1,1,2,1,2,1,1,1
i03_12_5.bmp,3.0,12.0,5.0,1,1,1,1,1,1,1,1,2,1,1,1,1,1
i04_12_1.bmp,4.0,12.0,1.0,3,3,3,3,3,3,3,3,3,3,3,1,2,2
i04_12_2.bmp,4.0,12.0,2.0,2,2,2,2,2,2,3,2,3,2,3,1,2,2
i04_12_3.bmp,4.0,12.0,3.0,1,2,2,2,2,2,2,1,2,2,2,1,2,2
i04_12_4.bmp,4.0,12.0,4.0,1,1,1,1,1,1,1,1,2,1,2,1,1,1
i04_12_5.bmp,4.0,12.0,5.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
