name,image,distortion,level,MOS,MOS_std,MSE,RMSE,PSNR,SNR,WSNR,NQM,UQI,SSIM,MSSIM,VIF,"CQ(1,1)",GMSM,GMSD
i01_18_1.bmp,1.00000,18.00000,1.00000,4.62162,0.14976,32.20632,5.67506,33.05139,25.96531,34.94892,27.82711,0.98810,0.97403,0.98957,0.81343,0.99933,0.99984,0.00038
i01_18_2.bmp,1.00000,18.00000,2.00000,4.22222,0.15271,62.51999,7.90696,30.17061,23.08453,32.13231,25.62611,0.98113,0.94656,0.97916,0.74499,0.99931,0.99986,0.00034
i01_18_3.bmp,1.00000,18.00000,3.00000,3.77143,0.12832,129.56301,11.38257,27.00599,19.91991,28.85335,23.21098,0.96776,0.87960,0.95046,0.62970,0.99927,0.99981,0.00041
i01_18_4.bmp,1.00000,18.00000,4.00000,3.47222,0.13881,259.82388,16.11905,23.98401,16.89793,25.82041,20.74951,0.94942,0.74708,0.88124,0.48232,0.99929,0.99986,0.00033
i01_18_5.bmp,1.00000,18.00000,5.00000,3.41667,0.14367,517.39950,22.74642,20.99254,13.90646,22.87399,17.96862,0.91421,0.53922,0.73863,0.41492,0.99925,0.99984,0.00034
i02_18_1.bmp,2.00000,18.00000,1.00000,5.97222,0.14426,32.47312,5.69852,33.01556,24.30047,30.13869,30.46873,0.98067,0.99231,0.99674,0.93682,0.99897,0.99973,0.00049
i02_18_2.bmp,2.00000,18.00000,2.00000,5.59459,0.18114,61.55243,7.84554,30.23835,21.52326,27.28164,28.41772,0.97339,0.98499,0.99417,0.91335,0.99902,0.99975,0.00048
i02_18_3.bmp,2.00000,18.00000,3.00000,4.82857,0.15901,129.58380,11.38349,27.00530,18.29020,24.02680,26.31440,0.95886,0.96624,0.98812,0.87353,0.99901,0.99970,0.00060
i02_18_4.bmp,2.00000,18.00000,4.00000,4.91892,0.14989,259.71413,16.11565,23.98585,15.27076,20.96823,23.99607,0.93799,0.92697,0.97535,0.81908,0.99900,0.99972,0.00052
i02_18_5.bmp,2.00000,18.00000,5.00000,4.54286,0.11671,514.11303,22.67406,21.02022,12.30513,17.98253,21.79539,0.90138,0.83867,0.94439,0.73534,0.99899,0.99973,0.00050
i03_18_1.bmp,3.00000,18.00000,1.00000,5.76923,0.13790,32.43684,5.69534,33.02042,25.23089,33.97565,26.37143,0.94407,0.98844,0.99098,0.90795,0.99778,0.99945,0.00113
