name,image,distortion,level,MOS,MSE,RMSE,PSNR,SNR,WSNR,NQM,UQI,SSIM,MSSIM,VIF,"CQ(1,1)",GMSM,GMSD
i01_18_1.bmp,1.0,18.0,1.0,2,3,3,3,3,2,2,3,3,3,3,3,3,3
i01_18_2.bmp,1.0,18.0,2.0,2,3,3,3,3,2,2,3,3,3,3,3,3,3
i01_18_3.bmp,1.0,18.0,3.0,1,2,2,2,2,2,2,3,2,2,2,3,3,3
i01_18_4.bmp,1.0,18.0,4.0,1,1,1,1,1,1,2,3,1,1,1,3,3,3
i01_18_5.bmp,1.0,18.0,5.0,1,1,1,1,1,1,1,3,1,1,1,3,3,3
i02_18_1.bmp,2.0,18.0,1.0,3,3,3,3,3,2,3,3,3,3,3,3,3,3
i02_18_2.bmp,2.0,18.0,2.0,3,3,3,3,2,1,2,3,3,3,3,3,3,3
i02_18_3.bmp,2.0,18.0,3.0,2,2,2,2,2,1,2,3,3,3,3,3,3,3
i02_18_4.bmp,2.0,18.0,4.0,2,1,1,1,1,1,2,3,2,3,3,3,3,3
i02_18_5.bmp,2.0,18.0,5.0,2,1,1,1,1,1,2,3,2,2,3,3,3,3
i03_18_1.bmp,3.0,18.0,1.0,3,3,3,3,3,2,2,3,3,3,3,3,3,3
i03_18_2.bmp,3.0,18.0,2.0,3,3,3,3,2,2,2,3,3,3,3,3,3,3
i03_18_3.bmp,3.0,18.0,3.0,3,2,2,2,2,2,2,3,3,3,3,3,3,3
i03_18_4.bmp,3.0,18.0,4.0,2,1,1,1,1,1,1,3,2,2,3,3,3,3
i03_18_5.bmp,3.0,18.0,5.0,2,1,1,1,1,1,1,3,1,1,2,3,3,3
i04_18_1.bmp,4.0,18.0,1.0,3,3,3,3,3,2,2,3,3,3,3,3,3,3
i04_18_2.bmp,4.0,18.0,2.0,2,3,3,3,2,2,2,3,3,3,3,3,3,3
i04_18_3.bmp,4.0,18.0,3.0,2,2,2,2,2,2,2,3,2,2,3,3,3,3
i04_18_4.bmp,4.0,18.0,4.0,2,1,1,1,1,1,2,3,1,2,2,3,3,3
i04_18_5.bmp,4.0,18.0,5.0,1,1,1,1,1,1,1,3,1,1,1,3,3,3
i05_18_1.bmp,5.0,18.0,1.0,2,3,3,3,3,2,3,3,3,3,3,3,3,3
i05_18_2.bmp,5.0,18.0,2.0,2,3,3,3,2,2,2,3,3,3,3,3,3,3
i05_18_3.bmp,5.0,18.0,3.0,1,2,2,2,2,2,2,3,2,2,2,3,3,3
