name,image,distortion,level,MOS,MSE,RMSE,PSNR,SNR,WSNR,NQM,UQI,SSIM,MSSIM,VIF,"CQ(1,1)",GMSM,GMSD
i01_01_1.bmp,1.0,1.0,1.0,3,3,3,3,3,3,3,3,3,3,2,3,3,3
i01_01_2.bmp,1.0,1.0,2.0,3,3,3,3,3,3,3,3,2,3,2,3,2,3
i01_01_3.bmp,1.0,1.0,3.0,2,2,2,2,2,3,3,2,2,2,2,2,2,2
i01_01_4.bmp,1.0,1.0,4.0,2,1,1,1,1,2,2,2,1,2,1,2,2,2
i01_01_5.bmp,1.0,1.0,5.0,1,1,1,1,1,2,2,1,1,1,1,1,1,1
i02_01_1.bmp,2.0,1.0,1.0,3,3,3,3,3,3,3,2,3,3,3,2,3,3
i02_01_2.bmp,2.0,1.0,2.0,3,3,3,3,2,2,2,2,3,2,2,2,2,2
i02_01_3.bmp,2.0,1.0,3.0,2,2,2,2,2,2,2,1,3,2,2,1,2,2
i02_01_4.bmp,2.0,1.0,4.0,2,2,2,2,1,2,2,1,2,1,2,1,1,2
i02_01_5.bmp,2.0,1.0,5.0,2,1,1,1,1,1,1,1,2,1,1,1,1,1
i03_01_1.bmp,3.0,1.0,1.0,3,3,3,3,3,3,3,1,2,3,3,2,2,3
i03_01_2.bmp,3.0,1.0,2.0,2,3,3,3,2,3,3,1,2,2,2,2,2,2
i03_01_3.bmp,3.0,1.0,3.0,2,2,2,2,2,2,2,1,1,2,2,1,2,2
i03_01_4.bmp,3.0,1.0,4.0,2,2,2,2,1,2,2,1,1,1,2,1,1,1
i03_01_5.bmp,3.0,1.0,5.0,1,1,1,1,1,2,2,1,1,1,1,1,1,1
i04_01_1.bmp,4.0,1.0,1.0,3,3,3,3,3,3,3,2,3,3,2,2,3,3
i04_01_2.bmp,4.0,1.0,2.0,3,3,3,3,2,3,3,1,2,2,2,2,2,3
i04_01_3.bmp,4.0,1.0,3.0,2,2,2,2,2,2,2,1,2,2,2,1,2,2
i04_01_4.bmp,4.0,1.0,4.0,2,1,1,1,1,2,2,1,1,1,1,1,1,2
i04_01_5.bmp,4.0,1.0,5.0,2,1,1,1,1,2,2,1,1,1,1,1,1,1
i05_01_1.bmp,5.0,1.0,1.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3
i05_01_2.bmp,5.0,1.0,2.0,3,3,3,3,2,3,3,3,2,3,2,3,3,3
i05_01_3.bmp,5.0,1.0,3.0,2,2,2,2,2,2,3,2,2,2,2,2,2,2
i05_01_4.bmp,5.0,1.0,4.0,2,2,2,2,1,2,3,2,1,2,1,2,2,2
i05_01_5.bmp,5.0,1.0,5.0,1,1,1,1,1,2,2,2,1,1,1,2,2,2
i06_01_1.bmp,6.0,1.0,1.0,3,3,3,3,3,3,3,2,3,3,3,3,3,3
i06_01_2.bmp,6.0,1.0,2.0,2,3,3,3,3,3,3,2,2,2,2,3,2,3
i06_01_3.bmp,6.0,1.0,3.0,2,2,2,2,2,3,3,2,2,2,2,2,2,2
i06_01_4.bmp,6.0,1.0,4.0,2,2,2,2,2,2,2,2,1,1,1,2,2,2
i06_01_5.bmp,6.0,1.0,5.0,1,1,1,1,1,2,2,1,1,1,1,1,1,1
i07_01_1.bmp,7.0,1.0,1.0,3,3,3,3,3,3,3,2,3,3,2,3,3,3
i07_01_2.bmp,7.0,1.0,2.0,2,3,3,3,3,3,3,2,2,2,2,2,2,3
i07_01_3.bmp,7.0,1.0,3.0,2,2,2,2,2,3,3,2,1,2,2,2,2,2
i07_01_4.bmp,7.0,1.0,4.0,2,1,1,1,1,2,2,1,1,1,1,1,1,2
i07_01_5.bmp,7.0,1.0,5.0,2,1,1,1,1,2,2,1,1,1,1,1,1,1
i08_01_1.bmp,8.0,1.0,1.0,3,3,3,3,3,3,3,3,3,3,2,3,3,3
i08_01_2.bmp,8.0,1.0,2.0,2,3,3,3,3,3,3,3,2,3,2,3,3,3
i08_01_3.bmp,8.0,1.0,3.0,2,2,2,2,2,3,3,2,2,2,2,3,2,2
i08_01_4.bmp,8.0,1.0,4.0,2,2,2,2,2,2,3,2,1,2,1,2,2,2
i08_01_5.bmp,8.0,1.0,5.0,1,1,1,1,1,2,2,2,1,1,1,2,1,2
i09_01_1.bmp,9.0,1.0,1.0,3,3,3,3,3,3,3,2,2,2,2,3,3,3
i09_01_2.bmp,9.0,1.0,2.0,2,3,3,3,3,3,3,1,1,2,2,2,2,2
i09_01_3.bmp,9.0,1.0,3.0,2,2,2,2,2,3,2,1,1,1,1,2,2,2
i09_01_4.bmp,9.0,1.0,4.0,2,1,1,1,2,3,2,1,1,1,1,1,1,1
i09_01_5.bmp,9.0,1.0,5.0,1,1,1,1,1,2,2,1,1,1,1,1,1,1
i10_01_1.bmp,10.0,1.0,1.0,3,3,3,3,3,3,3,2,2,3,2,3,3,3
i10_01_2.bmp,10.0,1.0,2.0,3,3,3,3,3,3,3,2,1,2,2,2,2,3
i10_01_3.bmp,10.0,1.0,3.0,2,2,2,2,2,3,2,1,1,2,1,2,2,2
i10_01_4.bmp,10.0,1.0,4.0,2,1,1,1,2,2,2,1,1,1,1,1,1,2
i10_01_5.bmp,10.0,1.0,5.0,1,1,1,1,1,2,2,1,1,1,1,1,1,1
i11_01_1.bmp,11.0,1.0,1.0,3,3,3,3,3,3,3,2,2,3,2,3,3,3
i11_01_2.bmp,11.0,1.0,2.0,2,3,3,3,2,3,3,2,2,2,2,3,2,3
i11_01_3.bmp,11.0,1.0,3.0,3,2,2,2,2,2,3,2,1,2,1,2,2,2
i11_01_4.bmp,11.0,1.0,4.0,2,2,2,2,1,2,2,1,1,1,1,2,1,2
i11_01_5.bmp,11.0,1.0,5.0,1,1,1,1,1,2,2,1,1,1,1,1,1,1
i12_01_1.bmp,12.0,1.0,1.0,3,3,3,3,3,3,3,2,3,3,2,2,3,3
i12_01_2.bmp,12.0,1.0,2.0,2,3,3,3,3,3,3,2,2,2,2,2,2,3
i12_01_3.bmp,12.0,1.0,3.0,2,2,2,2,3,3,3,1,2,2,2,2,2,2
i12_01_4.bmp,12.0,1.0,4.0,2,1,1,1,2,3,2,1,1,1,1,1,1,2
i12_01_5.bmp,12.0,1.0,5.0,1,1,1,1,1,2,2,1,1,1,1,1,1,1
i13_01_1.bmp,13.0,1.0,1.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3
i13_01_2.bmp,13.0,1.0,2.0,3,3,3,3,3,3,3,3,2,3,2,3,3,3
i13_01_3.bmp,13.0,1.0,3.0,2,2,2,2,2,3,3,3,2,2,2,3,2,2
i13_01_4.bmp,13.0,1.0,4.0,2,2,2,2,1,2,2,2,1,2,1,2,2,2
i13_01_5.bmp,13.0,1.0,5.0,2,1,1,1,1,2,2,2,1,1,1,2,1,2
i14_01_1.bmp,14.0,1.0,1.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3
i14_01_2.bmp,14.0,1.0,2.0,3,3,3,3,3,3,3,2,2,3,2,3,2,3
i14_01_3.bmp,14.0,1.0,3.0,2,2,2,2,2,3,3,2,2,2,2,2,2,2
i14_01_4.bmp,14.0,1.0,4.0,2,1,1,1,1,2,2,2,1,2,1,2,2,2
i14_01_5.bmp,14.0,1.0,5.0,1,1,1,1,1,2,2,1,1,1,1,1,1,2
i15_01_1.bmp,15.0,1.0,1.0,3,3,3,3,3,3,3,2,2,3,2,2,3,3
i15_01_2.bmp,15.0,1.0,2.0,2,3,3,3,2,3,3,1,2,2,2,2,2,3
i15_01_3.bmp,15.0,1.0,3.0,2,2,2,2,2,2,3,1,1,2,2,2,2,2
i15_01_4.bmp,15.0,1.0,4.0,2,2,2,2,1,2,3,1,1,1,1,1,1,2
i15_01_5.bmp,15.0,1.0,5.0,1,1,1,1,1,2,2,1,1,1,1,1,1,1
i16_01_1.bmp,16.0,1.0,1.0,3,3,3,3,3,3,2,2,2,3,2,2,3,3
