name,image,distortion,level,MOS,MOS_std,MSE,RMSE,PSNR,SNR,WSNR,NQM,UQI,SSIM,MSSIM,VIF,"CQ(1,1)",GMSM,GMSD
i01_01_1.bmp,1.00000,1.00000,1.00000,5.51429,0.13013,32.03753,5.66017,33.07421,25.98813,43.79441,33.73788,0.86986,0.96191,0.98669,0.67966,0.97925,0.99506,0.00986
i01_01_2.bmp,1.00000,1.00000,2.00000,5.56757,0.16008,63.92944,7.99559,30.07379,22.98771,40.82585,31.48137,0.81570,0.92851,0.97468,0.59392,0.96019,0.99027,0.01906
i01_01_3.bmp,1.00000,1.00000,3.00000,4.94444,0.15186,129.79863,11.39292,26.99810,19.91202,37.71852,28.94034,0.73986,0.86978,0.95185,0.50083,0.92384,0.98144,0.03493
i01_01_4.bmp,1.00000,1.00000,4.00000,4.37838,0.11046,257.90276,16.05935,24.01624,16.93016,34.68791,26.23665,0.64451,0.78145,0.91591,0.41084,0.86315,0.96547,0.06004
i01_01_5.bmp,1.00000,1.00000,5.00000,3.86486,0.10229,514.64925,22.68588,21.01569,13.92961,31.58893,23.23287,0.52697,0.65797,0.85600,0.32352,0.77023,0.94088,0.09411
i02_01_1.bmp,2.00000,1.00000,1.00000,5.74286,0.12995,32.00243,5.65707,33.07897,24.36388,39.26528,30.48576,0.69243,0.99092,0.97982,0.73164,0.91982,0.99170,0.01347
i02_01_2.bmp,2.00000,1.00000,2.00000,5.34286,0.13366,63.68085,7.98003,30.09072,21.37562,36.19964,27.84150,0.58111,0.98220,0.96277,0.66762,0.85615,0.98391,0.02542
i02_01_3.bmp,2.00000,1.00000,3.00000,5.22222,0.11858,127.58151,11.29520,27.07293,18.35783,33.13088,25.18357,0.46119,0.96526,0.93387,0.59952,0.75918,0.96909,0.04595
i02_01_4.bmp,2.00000,1.00000,4.00000,4.19444,0.09477,250.07185,15.81366,24.15016,15.43506,30.20212,22.41983,0.34798,0.93494,0.88997,0.53365,0.63312,0.94406,0.07646
i02_01_5.bmp,2.00000,1.00000,5.00000,3.97297,0.11135,484.45531,22.01035,21.27827,12.56317,27.14110,19.48961,0.24645,0.88252,0.83078,0.46737,0.49590,0.90193,0.12076
i03_01_1.bmp,3.00000,1.00000,1.00000,5.76923,0.09905,31.63664,5.62465,33.12890,25.33937,42.29332,32.03629,0.47933,0.93481,0.97211,0.71843,0.88897,0.99020,0.01535
i03_01_2.bmp,3.00000,1.00000,2.00000,5.10526,0.08145,62.63571,7.91427,30.16258,22.37305,39.40954,29.80266,0.39225,0.88504,0.94977,0.64999,0.80919,0.98050,0.02936
i03_01_3.bmp,3.00000,1.00000,3.00000,4.68421,0.10595,126.37466,11.24165,27.11420,19.32467,36.32083,27.15053,0.31270,0.80877,0.91319,0.57428,0.69208,0.96172,0.05435
i03_01_4.bmp,3.00000,1.00000,4.00000,4.25000,0.09843,249.84467,15.80648,24.15410,16.36457,33.15028,24.10717,0.24462,0.71356,0.85597,0.49957,0.56047,0.92773,0.09227
i03_01_5.bmp,3.00000,1.00000,5.00000,3.92500,0.10833,495.03481,22.24938,21.18445,13.39491,30.11468,21.20588,0.18365,0.60448,0.77707,0.42212,0.42575,0.87723,0.13982
i04_01_1.bmp,4.00000,1.00000,1.00000,5.76190,0.12051,32.10672,5.66628,33.06484,24.99480,41.97760,32.12096,0.65412,0.96137,0.97793,0.68430,0.88969,0.99191,0.01308
i04_01_2.bmp,4.00000,1.00000,2.00000,5.47619,0.10774,63.93531,7.99596,30.07340,22.00335,38.95302,29.66248,0.53530,0.92700,0.95973,0.61070,0.80848,0.98480,0.02391
i04_01_3.bmp,4.00000,1.00000,3.00000,4.92857,0.09155,129.54774,11.38190,27.00651,18.93646,35.90510,26.91845,0.41294,0.86572,0.92744,0.53204,0.69437,0.97107,0.04383
i04_01_4.bmp,4.00000,1.00000,4.00000,4.26829,0.09142,255.94790,15.99837,24.04929,15.97924,32.93017,24.23310,0.30390,0.77299,0.87848,0.45526,0.56392,0.94768,0.07218
i04_01_5.bmp,4.00000,1.00000,5.00000,4.00000,0.08909,507.13530,22.51966,21.07957,13.00952,29.81134,21.18924,0.21115,0.64434,0.80362,0.37959,0.42941,0.90807,0.11551
i05_01_1.bmp,5.00000,1.00000,1.00000,5.52500,0.13223,31.66064,5.62678,33.12561,24.89947,42.37026,37.92188,0.91456,0.96082,0.98993,0.69649,0.98290,0.99649,0.00812
i05_01_2.bmp,5.00000,1.00000,2.00000,5.50000,0.13229,62.95934,7.93469,30.14020,21.91407,39.35383,35.29634,0.86698,0.92802,0.98089,0.61430,0.96724,0.99346,0.01447
i05_01_3.bmp,5.00000,1.00000,3.00000,4.84615,0.09956,125.93775,11.22220,27.12924,18.90311,36.26852,32.48467,0.80170,0.87384,0.96487,0.52540,0.93759,0.98764,0.02627
i05_01_4.bmp,5.00000,1.00000,4.00000,4.05128,0.08844,246.77892,15.70920,24.20772,15.98159,33.26331,29.57017,0.71874,0.79536,0.93794,0.43636,0.88651,0.97825,0.04307
i05_01_5.bmp,5.00000,1.00000,5.00000,3.56098,0.12460,483.67047,21.99251,21.28531,13.05918,29.77142,25.95882,0.61685,0.69046,0.89551,0.34963,0.80338,0.96169,0.06946
i06_01_1.bmp,6.00000,1.00000,1.00000,5.75676,0.17684,31.10306,5.57701,33.20277,28.21445,44.81572,34.02546,0.79292,0.96853,0.98320,0.69042,0.98106,0.99478,0.01003
i06_01_2.bmp,6.00000,1.00000,2.00000,5.16667,0.15957,61.97919,7.87269,30.20834,25.22003,41.80735,31.94107,0.73634,0.93994,0.96896,0.60898,0.96320,0.99002,0.01870
i06_01_3.bmp,6.00000,1.00000,3.00000,5.02703,0.14548,125.27886,11.19280,27.15203,22.16371,38.66183,29.63943,0.66296,0.88796,0.94168,0.51938,0.92980,0.98072,0.03465
i06_01_4.bmp,6.00000,1.00000,4.00000,4.31429,0.11967,248.15997,15.75309,24.18349,19.19517,35.68254,27.02611,0.57457,0.80596,0.89893,0.43193,0.87346,0.96516,0.05757
i06_01_5.bmp,6.00000,1.00000,5.00000,3.61111,0.11966,495.52314,22.26035,21.18016,16.19185,32.54777,24.53282,0.46844,0.68648,0.82879,0.34461,0.78393,0.93901,0.09155
i07_01_1.bmp,7.00000,1.00000,1.00000,5.68182,0.11928,31.99542,5.65645,33.07993,25.72961,43.34927,34.10290,0.72637,0.94350,0.98007,0.68413,0.94858,0.99405,0.01174
i07_01_2.bmp,7.00000,1.00000,2.00000,5.09091,0.11507,63.91591,7.99474,30.07471,22.72439,40.46571,31.93161,0.65638,0.89671,0.96320,0.60298,0.90516,0.98855,0.02185
i07_01_3.bmp,7.00000,1.00000,3.00000,4.80000,0.12008,129.00563,11.35806,27.02472,19.67440,37.25406,29.19973,0.57814,0.82133,0.93502,0.51673,0.83114,0.97755,0.04096
i07_01_4.bmp,7.00000,1.00000,4.00000,4.45455,0.11343,255.60386,15.98762,24.05513,16.70481,34.23704,26.34552,0.49443,0.71826,0.89067,0.43129,0.72822,0.95860,0.07051
i07_01_5.bmp,7.00000,1.00000,5.00000,3.97619,0.09214,509.34557,22.56869,21.06068,13.71036,31.18174,23.53888,0.40221,0.59007,0.82412,0.34729,0.59934,0.92680,0.11344
