name,image,distortion,level,MOS,MOS_std,MSE,RMSE,PSNR,SNR,WSNR,NQM,UQI,SSIM,MSSIM,VIF,"CQ(1,1)",GMSM,GMSD
i01_01_1.bmp,1.00000,1.00000,1.00000,5.51429,0.13013,32.03753,5.66017,33.07421,25.98813,43.79441,33.73788,0.86986,0.96191,0.98669,0.67966,0.97945,0.99506,0.00986
i01_01_2.bmp,1.00000,1.00000,2.00000,5.56757,0.16008,63.92944,7.99559,30.07379,22.98771,40.82585,31.48137,0.81570,0.92851,0.97468,0.59392,0.96028,0.99027,0.01906
i01_01_3.bmp,1.00000,1.00000,3.00000,4.94444,0.15186,129.79863,11.39292,26.99810,19.91202,37.71852,28.94034,0.73986,0.86978,0.95185,0.50083,0.92384,0.98144,0.03493
i01_01_4.bmp,1.00000,1.00000,4.00000,4.37838,0.11046,257.90276,16.05935,24.01624,16.93016,34.68791,26.23665,0.64451,0.78145,0.91591,0.41084,0.86331,0.96547,0.06004
i01_01_5.bmp,1.00000,1.00000,5.00000,3.86486,0.10229,514.64925,22.68588,21.01569,13.92961,31.58893,23.23287,0.52697,0.65797,0.85600,0.32352,0.77023,0.94088,0.09411
i01_02_1.bmp,1.00000,2.00000,1.00000,6.02857,0.16896,30.91275,5.55992,33.22943,26.14335,47.57587,36.38508,0.87563,0.96306,0.98311,0.68569,0.99437,0.99864,0.00283
i01_02_2.bmp,1.00000,2.00000,2.00000,6.10811,0.17001,61.64238,7.85127,30.23201,23.14593,44.68951,34.23848,0.82313,0.93066,0.96776,0.59796,0.98997,0.99741,0.00531
i01_02_3.bmp,1.00000,2.00000,3.00000,5.38889,0.16795,123.78750,11.12598,27.20404,20.11795,41.60486,32.03244,0.75300,0.87495,0.94059,0.50363,0.97889,0.99489,0.01044
i01_02_4.bmp,1.00000,2.00000,4.00000,4.71429,0.10358,244.50875,15.63678,24.24786,17.16178,38.53925,29.37182,0.66280,0.78910,0.89620,0.41066,0.95999,0.99022,0.01924
i01_02_5.bmp,1.00000,2.00000,5.00000,4.36111,0.13695,489.78415,22.13107,21.23076,14.14468,35.38023,26.55915,0.55173,0.66726,0.82491,0.32077,0.92362,0.98176,0.03400
i01_03_1.bmp,1.00000,3.00000,1.00000,4.77143,0.12832,31.90699,5.64863,33.09195,26.00586,35.43394,26.33769,0.87642,0.96447,0.96617,0.62414,0.98812,0.98051,0.03632
i01_03_2.bmp,1.00000,3.00000,2.00000,4.27027,0.13594,64.26012,8.01624,30.05139,22.96531,32.25179,23.27487,0.82385,0.93285,0.93579,0.52047,0.97690,0.96446,0.06144
i01_03_3.bmp,1.00000,3.00000,3.00000,3.70270,0.10719,130.14235,11.40799,26.98662,19.90054,29.38375,20.50694,0.75271,0.87695,0.88314,0.41228,0.95524,0.93805,0.09843
i01_03_4.bmp,1.00000,3.00000,4.00000,3.19444,0.09477,258.61537,16.08152,24.00426,16.91818,26.33040,17.28127,0.65979,0.79134,0.80347,0.31496,0.96475,0.89770,0.14458
i01_03_5.bmp,1.00000,3.00000,5.00000,2.71429,0.09537,513.90349,22.66944,21.02199,13.93591,23.36109,14.25284,0.54663,0.67241,0.69434,0.23035,0.84845,0.84532,0.19082
i01_04_1.bmp,1.00000,4.00000,1.00000,5.97143,0.13694,32.58116,5.70799,33.00114,25.91506,56.09037,41.05384,0.94949,0.97347,0.99683,0.73322,0.97930,0.99932,0.00168
i01_04_2.bmp,1.00000,4.00000,2.00000,5.75676,0.15946,66.23328,8.13838,29.92004,22.83396,52.65001,38.55732,0.90850,0.94823,0.99377,0.66415,0.96005,0.99872,0.00325
i01_04_3.bmp,1.00000,4.00000,3.00000,5.27027,0.17368,134.39378,11.59283,26.84701,19.76093,48.91445,36.10941,0.84022,0.90224,0.98791,0.59257,0.92253,0.99752,0.00619
i01_04_4.bmp,1.00000,4.00000,4.00000,5.24324,0.16398,253.71075,15.92830,24.08741,17.00133,45.24925,33.39786,0.74774,0.83423,0.97849,0.52831,0.86674,0.99549,0.01111
i01_04_5.bmp,1.00000,4.00000,5.00000,4.71429,0.13138,521.95426,22.84632,20.95448,13.86840,40.72798,29.84017,0.60538,0.71886,0.95959,0.45737,0.76669,0.99101,0.02113
i01_05_1.bmp,1.00000,5.00000,1.00000,5.91892,0.15934,32.60575,5.71014,32.99786,25.91178,49.85255,37.93252,0.86804,0.96094,0.99204,0.70157,0.97942,0.99817,0.00376
i01_05_2.bmp,1.00000,5.00000,2.00000,5.70270,0.17036,65.06065,8.06602,29.99762,22.91154,46.85943,35.91499,0.81357,0.92706,0.98518,0.62738,0.95929,0.99648,0.00712
i01_05_3.bmp,1.00000,5.00000,3.00000,5.08333,0.13249,205.20158,14.32486,25.00900,17.92292,41.81145,32.20994,0.67877,0.81425,0.96076,0.49750,0.88609,0.98951,0.02032
i01_05_4.bmp,1.00000,5.00000,4.00000,4.13889,0.09744,647.38100,25.44368,20.01920,12.93312,36.37205,27.47734,0.48483,0.61053,0.90335,0.36776,0.72909,0.97014,0.05239
i01_05_5.bmp,1.00000,5.00000,5.00000,3.13889,0.09744,2048.39084,45.25915,15.01668,7.93059,29.29968,20.42615,0.27312,0.35639,0.78020,0.24526,0.49414,0.92442,0.11246
i01_06_1.bmp,1.00000,6.00000,1.00000,4.00000,0.11467,30.14498,5.49044,33.33865,26.25257,43.62758,33.31319,0.95118,0.97271,0.99025,0.84272,0.98117,0.99562,0.02622
i01_06_2.bmp,1.00000,6.00000,2.00000,3.89189,0.16566,65.25448,8.07802,29.98470,22.89862,39.92254,30.19987,0.90393,0.94345,0.97950,0.73213,0.95880,0.99052,0.03856
i01_06_3.bmp,1.00000,6.00000,3.00000,3.72973,0.10571,131.88924,11.48430,26.92871,19.84263,36.70872,27.26577,0.82663,0.89144,0.95822,0.60644,0.92243,0.98273,0.05062
i01_06_4.bmp,1.00000,6.00000,4.00000,3.48571,0.08448,256.30729,16.00960,24.04319,16.95711,33.14314,24.04205,0.71676,0.81020,0.92258,0.48711,0.86165,0.96668,0.07523
i01_06_5.bmp,1.00000,6.00000,5.00000,2.94444,0.11072,517.54441,22.74960,20.99133,13.90525,28.91959,19.91289,0.57119,0.67886,0.86134,0.36565,0.75551,0.94126,0.10526
i01_07_1.bmp,1.00000,7.00000,1.00000,5.08333,0.15404,30.49154,5.52191,33.28901,26.20293,38.50021,27.72491,0.87951,0.96262,0.98654,0.68595,0.97918,0.99153,0.02122
i01_07_2.bmp,1.00000,7.00000,2.00000,4.75000,0.13249,61.15784,7.82035,30.26628,23.18020,34.28371,24.35765,0.82022,0.93589,0.97500,0.60374,0.95379,0.98121,0.04024
i01_07_3.bmp,1.00000,7.00000,3.00000,4.00000,0.11111,125.97322,11.22378,27.12802,20.04194,33.71110,24.20024,0.74467,0.88088,0.95181,0.49776,0.92548,0.97107,0.05403
i01_07_4.bmp,1.00000,7.00000,4.00000,3.22222,0.11188,254.74585,15.96076,24.06973,16.98365,28.82319,19.84568,0.65078,0.80474,0.90469,0.40605,0.87003,0.94661,0.09097
i01_07_5.bmp,1.00000,7.00000,5.00000,2.19444,0.11666,501.31889,22.39015,21.12966,14.04358,22.89409,13.84893,0.55115,0.68231,0.84956,0.32200,0.79768,0.90588,0.13403
i01_08_1.bmp,1.00000,8.00000,1.00000,5.18919,0.13151,25.81205,5.08056,34.01258,26.92650,41.15603,31.57559,0.94844,0.97632,0.99354,0.76869,0.98361,0.99443,0.01417
i01_08_2.bmp,1.00000,8.00000,2.00000,4.47222,0.13314,78.43544,8.85638,29.18568,22.09960,35.73025,27.43650,0.85305,0.92501,0.97842,0.62620,0.92554,0.98300,0.03725
i01_08_3.bmp,1.00000,8.00000,3.00000,3.48649,0.11856,190.27907,13.79417,25.33689,18.25081,30.07618,22.54284,0.65069,0.81501,0.93321,0.47679,0.74063,0.95285,0.07755
i01_08_4.bmp,1.00000,8.00000,4.00000,3.00000,0.09035,339.72836,18.43172,22.81949,15.73340,24.53722,17.00746,0.39233,0.67907,0.83468,0.34559,0.44505,0.87907,0.14051
i01_08_5.bmp,1.00000,8.00000,5.00000,2.11111,0.10956,506.70205,22.51004,21.08328,13.99720,19.63976,11.38246,0.16393,0.57077,0.68913,0.24354,0.17463,0.75492,0.23920
i01_09_1.bmp,1.00000,9.00000,1.00000,6.08333,0.18162,34.89903,5.90754,32.70267,25.61659,40.99110,31.61300,0.86200,0.96029,0.98324,0.65136,0.96941,0.99137,0.01663
i01_09_2.bmp,1.00000,9.00000,2.00000,5.16667,0.15466,62.94545,7.93382,30.14116,23.05508,37.51425,28.62832,0.78977,0.92836,0.96721,0.56884,0.93912,0.98189,0.03315
i01_09_3.bmp,1.00000,9.00000,3.00000,4.42857,0.12313,131.50456,11.46754,26.94140,19.85531,32.41101,24.05773,0.64200,0.85316,0.92049,0.45388,0.85498,0.95289,0.07382
i01_09_4.bmp,1.00000,9.00000,4.00000,2.81081,0.10701,255.96170,15.99880,24.04905,16.96297,26.53129,18.05654,0.44243,0.73423,0.82299,0.33739,0.70534,0.89686,0.13657
i01_09_5.bmp,1.00000,9.00000,5.00000,1.54054,0.11205,511.15238,22.60868,21.04530,13.95922,19.04767,10.02952,0.18816,0.54840,0.66440,0.22170,0.40456,0.76981,0.23256
i01_10_1.bmp,1.00000,10.00000,1.00000,5.97297,0.15519,31.66329,5.62701,33.12524,26.03916,47.25233,35.37677,0.89753,0.96726,0.99116,0.69202,0.95548,0.99785,0.00420
i01_10_2.bmp,1.00000,10.00000,2.00000,5.94595,0.16192,61.19569,7.82277,30.26360,23.17751,42.85724,31.62248,0.83844,0.93914,0.98252,0.61449,0.90646,0.99403,0.01159
i01_10_3.bmp,1.00000,10.00000,3.00000,4.91667,0.15404,128.04577,11.31573,27.05715,19.97107,35.76322,26.42319,0.72159,0.87793,0.95282,0.49646,0.79887,0.97836,0.03760
i01_10_4.bmp,1.00000,10.00000,4.00000,3.21622,0.10902,263.35480,16.22821,23.92539,16.83931,27.79978,19.00537,0.53849,0.76404,0.87069,0.36538,0.62957,0.91717,0.12142
i01_10_5.bmp,1.00000,10.00000,5.00000,2.08108,0.15934,528.53388,22.98986,20.90008,13.81399,21.98384,12.80650,0.36100,0.50758,0.68097,0.17382,0.46084,0.82589,0.21211
i01_11_1.bmp,1.00000,11.00000,1.00000,5.91429,0.16349,32.47189,5.69841,33.01573,25.92965,46.21099,35.77096,0.88239,0.96493,0.99226,0.69526,0.95388,0.99603,0.00797
i01_11_2.bmp,1.00000,11.00000,2.00000,5.67568,0.14329,63.68936,7.98056,30.09013,23.00405,42.60832,33.51290,0.81066,0.92960,0.98498,0.61323,0.89860,0.98980,0.01973
i01_11_3.bmp,1.00000,11.00000,3.00000,4.69444,0.12922,124.52574,11.15911,27.17821,20.09213,37.76282,30.50120,0.71278,0.87166,0.97126,0.52879,0.77832,0.97537,0.04535
i01_11_4.bmp,1.00000,11.00000,4.00000,3.67568,0.10847,257.01098,16.03156,24.03129,16.94521,28.63359,21.03882,0.49054,0.75133,0.87978,0.37491,0.57078,0.92121,0.11417
i01_11_5.bmp,1.00000,11.00000,5.00000,1.45946,0.11839,509.10104,22.56327,21.06276,13.97668,19.62886,10.50733,0.15942,0.56731,0.65778,0.22355,0.24819,0.76988,0.23844
