name,image,distortion,level,MOS,MSE,RMSE,PSNR,SNR,WSNR,NQM,UQI,SSIM,MSSIM,VIF,"CQ(1,1)",GMSM,GMSD
i01_01_1.bmp,1.0,1.0,1.0,3,3,3,3,3,3,3,3,3,3,2,3,3,3
i01_01_2.bmp,1.0,1.0,2.0,3,3,3,3,3,3,3,3,2,3,2,3,2,3
i01_01_3.bmp,1.0,1.0,3.0,2,2,2,2,2,3,3,2,2,2,2,2,2,2
i01_01_4.bmp,1.0,1.0,4.0,2,1,1,1,1,2,2,2,1,2,1,2,2,2
i01_01_5.bmp,1.0,1.0,5.0,1,1,1,1,1,2,2,1,1,1,1,1,1,1
i01_02_1.bmp,1.0,2.0,1.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3
i01_02_2.bmp,1.0,2.0,2.0,3,3,3,3,3,3,3,3,2,2,2,3,3,3
i01_02_3.bmp,1.0,2.0,3.0,3,2,2,2,2,3,3,2,2,2,2,3,3,3
i01_02_4.bmp,1.0,2.0,4.0,2,2,2,2,1,3,3,2,1,1,1,3,2,3
i01_02_5.bmp,1.0,2.0,5.0,2,1,1,1,1,2,2,2,1,1,1,2,2,2
i01_03_1.bmp,1.0,3.0,1.0,2,3,3,3,3,2,2,3,3,2,2,3,2,2
i01_03_2.bmp,1.0,3.0,2.0,2,3,3,3,3,2,2,3,2,2,2,3,2,2
i01_03_3.bmp,1.0,3.0,3.0,1,2,2,2,2,2,2,2,2,1,1,3,1,1
i01_03_4.bmp,1.0,3.0,4.0,1,1,1,1,1,1,1,2,1,1,1,2,1,1
i01_03_5.bmp,1.0,3.0,5.0,1,1,1,1,1,1,1,2,1,1,1,2,1,1
i01_04_1.bmp,1.0,4.0,1.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3
i01_04_2.bmp,1.0,4.0,2.0,3,2,2,2,3,3,3,3,3,3,2,3,3,3
i01_04_3.bmp,1.0,4.0,3.0,3,2,2,2,2,3,3,3,2,3,2,2,3,3
i01_04_4.bmp,1.0,4.0,4.0,2,2,2,2,1,3,3,2,2,3,2,2,3,3
i01_04_5.bmp,1.0,4.0,5.0,2,1,1,1,1,3,3,2,1,2,1,1,3,3
i01_05_1.bmp,1.0,5.0,1.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3
i01_05_2.bmp,1.0,5.0,2.0,3,3,3,3,3,3,3,3,2,3,2,3,3,3
i01_05_3.bmp,1.0,5.0,3.0,2,2,2,2,2,3,3,2,1,2,2,2,2,3
i01_05_4.bmp,1.0,5.0,4.0,2,1,1,1,1,2,2,1,1,1,1,1,2,2
i01_05_5.bmp,1.0,5.0,5.0,1,1,1,1,1,2,2,1,1,1,1,1,1,1
i01_06_1.bmp,1.0,6.0,1.0,2,3,3,3,3,3,3,3,3,3,3,3,3,2
i01_06_2.bmp,1.0,6.0,2.0,1,3,3,3,3,3,3,3,3,3,3,3,2,2
i01_06_3.bmp,1.0,6.0,3.0,1,2,2,2,2,3,2,3,2,2,2,2,2,2
i01_06_4.bmp,1.0,6.0,4.0,1,1,1,1,1,2,2,2,1,2,1,2,2,2
i01_06_5.bmp,1.0,6.0,5.0,1,1,1,1,1,2,1,2,1,1,1,1,1,1
i01_07_1.bmp,1.0,7.0,1.0,2,3,3,3,3,3,2,3,3,3,3,3,3,3
i01_07_2.bmp,1.0,7.0,2.0,2,3,3,3,3,2,2,3,2,3,2,3,2,2
i01_07_3.bmp,1.0,7.0,3.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2
i01_07_4.bmp,1.0,7.0,4.0,1,1,1,1,1,2,1,2,1,2,1,2,1,1
i01_07_5.bmp,1.0,7.0,5.0,1,1,1,1,1,1,1,2,1,1,1,2,1,1
i01_08_1.bmp,1.0,8.0,1.0,2,3,3,3,3,3,3,3,3,3,3,3,3,3
i01_08_2.bmp,1.0,8.0,2.0,2,2,2,2,2,2,2,3,2,3,2,2,2,2
i01_08_3.bmp,1.0,8.0,3.0,1,2,2,2,2,2,2,2,1,2,1,1,1,2
i01_08_4.bmp,1.0,8.0,4.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
i01_08_5.bmp,1.0,8.0,5.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
i01_09_1.bmp,1.0,9.0,1.0,3,3,3,3,3,3,3,3,3,3,2,3,3,3
i01_09_2.bmp,1.0,9.0,2.0,2,3,3,3,3,3,2,2,2,2,2,2,2,2
i01_09_3.bmp,1.0,9.0,3.0,2,2,2,2,2,2,2,2,2,2,1,2,1,2
i01_09_4.bmp,1.0,9.0,4.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
i01_09_5.bmp,1.0,9.0,5.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
i01_10_1.bmp,1.0,10.0,1.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3
i01_10_2.bmp,1.0,10.0,2.0,3,3,3,3,3,3,3,3,2,3,2,2,3,3
i01_10_3.bmp,1.0,10.0,3.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2
i01_10_4.bmp,1.0,10.0,4.0,1,1,1,1,1,2,1,1,1,1,1,1,1,1
i01_10_5.bmp,1.0,10.0,5.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
i01_11_1.bmp,1.0,11.0,1.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3
i01_11_2.bmp,1.0,11.0,2.0,3,3,3,3,3,3,3,2,2,3,2,2,2,3
i01_11_3.bmp,1.0,11.0,3.0,2,2,2,2,2,3,3,2,2,3,2,1,2,2
i01_11_4.bmp,1.0,11.0,4.0,1,1,1,1,1,2,2,1,1,1,1,1,1,1
i01_11_5.bmp,1.0,11.0,5.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
i01_12_1.bmp,1.0,12.0,1.0,3,3,3,3,3,3,3,3,3,3,3,3,3,2
i01_12_2.bmp,1.0,12.0,2.0,3,3,3,3,3,3,3,3,2,2,3,2,2,2
i01_12_3.bmp,1.0,12.0,3.0,2,2,2,2,2,2,3,2,2,2,3,2,2,1
i01_12_4.bmp,1.0,12.0,4.0,1,1,1,1,1,2,3,2,1,1,2,1,1,1
i01_12_5.bmp,1.0,12.0,5.0,1,1,1,1,1,2,3,1,1,1,1,1,1,1
i01_13_1.bmp,1.0,13.0,1.0,3,3,3,3,3,3,3,3,3,3,3,3,3,2
i01_13_2.bmp,1.0,13.0,2.0,1,2,2,2,2,2,3,3,2,2,2,2,2,1
i01_13_3.bmp,1.0,13.0,3.0,1,2,2,2,2,1,1,2,2,1,1,2,1,1
i01_13_4.bmp,1.0,13.0,4.0,1,2,2,2,1,1,1,2,1,1,1,1,1,1
i01_13_5.bmp,1.0,13.0,5.0,1,1,1,1,1,2,2,2,1,1,1,1,1,1
i01_14_1.bmp,1.0,14.0,1.0,3,3,3,3,3,2,2,3,3,3,3,3,3,2
i01_14_2.bmp,1.0,14.0,2.0,3,2,2,2,3,2,2,3,3,3,3,2,3,2
i01_14_3.bmp,1.0,14.0,3.0,3,2,2,2,2,1,1,3,2,2,3,2,2,1
i01_14_4.bmp,1.0,14.0,4.0,3,2,2,2,2,1,1,3,2,2,3,2,2,1
i01_14_5.bmp,1.0,14.0,5.0,2,1,1,1,1,1,1,3,2,1,3,1,1,1
i01_15_1.bmp,1.0,15.0,1.0,1,2,2,2,2,1,1,3,3,2,3,3,2,1
i01_15_2.bmp,1.0,15.0,2.0,1,2,2,2,2,1,1,3,3,2,3,3,2,1
i01_15_3.bmp,1.0,15.0,3.0,1,2,2,2,2,1,1,3,3,2,3,3,2,1
i01_15_4.bmp,1.0,15.0,4.0,1,2,2,2,1,1,1,3,3,2,3,3,2,1
i01_15_5.bmp,1.0,15.0,5.0,1,2,2,2,1,1,1,3,3,3,3,3,3,2
i01_16_1.bmp,1.0,16.0,1.0,3,3,3,3,3,1,3,3,3,3,3,3,3,3
