,Noise,Actual,Simple,Exotic,New,Color,Full
MSE,0.4333843495,0.4502437474,0.5222828510,0.2826480685,0.4701806952,0.3943882653,0.3820000000
PSNR,0.4333843495,0.4502437474,0.5222828510,0.2826480685,0.4701806952,0.3943882653,0.3820000000
SNR,0.3755340697,0.3935367204,0.4542296538,0.2984592577,0.4445054041,0.3551677365,0.3600000000
WSNR,0.4747073954,0.4377331675,0.5422557636,0.3334746231,0.5977382971,0.6388587938,0.4450000000
NQM,0.5119010393,0.4906998132,0.5454400459,0.3918940688,0.6043152737,0.6429364266,0.4845000000
UQI,0.2819681576,0.3150850406,0.4042315661,0.2842255375,0.2273193636,0.2386130799,0.2890000000
SSIM,0.3316404351,0.3804858428,0.4522512341,0.3204924644,0.3993614109,0.3630945115,0.3635000000
MSSIM,0.5101987591,0.5826295671,0.6446178910,0.4364817947,0.5049674546,0.4270435447,0.5094999182
VIF,0.3517417490,0.4081768643,0.4844419621,0.2668540569,0.3197091929,0.2735377721,0.3495000000
"CQ(1,1)",0.3572265052,0.3419439344,0.5413926644,0.2917039376,0.2981680650,0.3567961165,0.3185000000
GMSM,0.6083306811,0.5800486589,0.7517033683,0.4953108177,0.4693380077,0.5675614507,0.5504999251
GMSD,0.7047528505,0.6957542005,0.7517828928,0.5327168972,0.5749606790,0.5907904901,0.6150000000
