,Noise,Actual,Simple,Exotic,New,Color,Full
0,GMSD,GMSD,GMSD-GMSM,GMSD,NQM-WSNR,NQM-WSNR,GMSD
1,GMSM,GMSM,MSSIM-NQM,GMSM,MSSIM,MSSIM,GMSM
2,NQM,MSSIM,WSNR,MSSIM,MSE,MSE,MSSIM
3,WSNR,NQM,MSE,NQM,PSNR,GMSM-PSNR,NQM
4,MSSIM,WSNR,"CQ(1,1)","CQ(1,1)",GMSD,GMSD,MSE
5,MSE,MSE,PSNR,SSIM,GMSM-SNR,SSIM,WSNR
6,PSNR,PSNR-VIF,VIF,SNR,SSIM-VIF,VIF,PSNR
7,SNR,SNR,SNR,MSE,"CQ(1,1)",SNR,SNR
8,VIF,SSIM,SSIM,WSNR,UQI,"CQ(1,1)",SSIM
9,"CQ(1,1)","CQ(1,1)",UQI,PSNR,-----,UQI,VIF
10,SSIM,UQI,-----,UQI,-----,-----,"CQ(1,1)"
11,UQI,-----,-----,VIF,-----,-----,UQI
