,Noise,Actual,Simple,Exotic,New,Color,Full
MSE,0.4308749967,0.4462952333,0.5188117859,0.2727640423,0.4681325620,0.3943494002,0.3819999485
PSNR,0.4308749967,0.4462952333,0.5188117859,0.2727640423,0.4681325620,0.3943494002,0.3819999485
SNR,0.3731740741,0.3899678862,0.4512009486,0.2921164028,0.4443595141,0.3549601958,0.3599999467
WSNR,0.4672553652,0.4271531230,0.5364672625,0.3156796668,0.5969968144,0.6382980719,0.4449999537
NQM,0.5083522861,0.4848953717,0.5424602261,0.3833031716,0.6035748195,0.6426693005,0.4844999570
UQI,0.2760577629,0.3125760395,0.4017365808,0.2785041539,0.2238636006,0.2359500821,0.2889999407
SSIM,0.3268124211,0.3780989898,0.4512771491,0.3136606046,0.3969978863,0.3595739032,0.3634999470
MSSIM,0.5092675539,0.5812953002,0.6436902481,0.4340408766,0.5039035410,0.4222521201,0.5094998774
VIF,0.3461349944,0.4054286867,0.4821643373,0.2550636928,0.3116689495,0.2628439894,0.3494999458
"CQ(1,1)",0.3571116260,0.3412082967,0.5383543819,0.2896529992,0.2942170446,0.3533842944,0.3184999432
GMSM,0.6074353225,0.5787756772,0.7512198254,0.4917735676,0.4685082570,0.5659117678,0.5504998876
GMSD,0.7047046468,0.6957125085,0.7517457877,0.5289953328,0.5736324063,0.5878425804,0.6149999679
